gender id vowel F1 F2 F3 Dur
w 47 aw 813 1117 2585 310
w 48 aw 736 1098 2821 355
w 49 aw 677 1054 3278 318
w 50 aw 995 1359 2941 361
b 01 aw 725 1384 2642 242
b 02 aw 802 1287 2729 327
b 03 aw 805 1299 2582 334
b 04 aw 817 1329 2965 304
b 05 aw 780 1236 3360 236
b 07 aw 891 1383 3039 378
b 08 aw 610 993 2946 353
b 09 aw 845 1111 3049 313
b 10 aw 695 1288 3014 316
b 11 aw 761 1310 2801 331
b 12 aw 985 1630 2989 369
b 13 aw 875 1402 2830 322
b 14 aw 950 1246 2853 243
b 15 aw 750 1251 3003 312
b 16 aw 819 1074 2918 367
b 17 aw 744 1093 2898 315
b 18 aw 808 1467 2997 269
b 19 aw 820 1356 2700 294
b 21 aw 831 NaN 2566 376
b 22 aw 746 1309 2957 384
b 23 aw 765 1067 3266 313
b 24 aw 770 1010 2411 196
b 25 aw 839 1240 2636 340
b 26 aw 635 1163 NaN 362
b 27 aw 792 1268 2988 250
b 28 aw 640 929 2654 267
b 29 aw 941 1409 2729 305
g 01 aw 867 1292 3296 349
g 02 aw 875 1501 3294 249
g 04 aw 885 1415 3196 430
g 05 aw 882 1309 2834 368
g 06 aw 888 1266 2632 300
g 07 aw 697 1358 2263 342
g 08 aw 787 1234 2924 377
g 09 aw 932 1445 3107 425
g 10 aw 893 1563 3131 285
g 11 aw 898 1359 2850 380
g 12 aw 952 1665 3063 323
g 13 aw 823 1356 3419 339
g 14 aw 854 1109 2960 332
g 15 aw 894 1366 3371 360
g 17 aw 757 1242 3288 291
g 18 aw 1062 NaN 3233 441
g 19 aw 1090 1465 2981 218
g 20 aw 998 1368 3282 274
g 21 aw 1001 1488 3149 259
m 01 eh 609 1980 2678 266
m 02 eh 517 1917 2438 167
m 03 eh 559 1695 2413 284
m 04 eh 698 1580 2492 229
m 06 eh 555 1851 2624 177
m 07 eh 571 1926 2615 197
m 08 eh 582 1768 2463 239
m 09 eh 560 1697 2663 239
m 10 eh 594 1716 2678 186
m 11 eh 569 1709 2502 261
m 13 eh 577 1811 2559 203
m 14 eh 570 1824 2627 231
m 16 eh 546 1750 2509 156
m 17 eh 554 1790 2469 181
m 18 eh 608 1831 2694 170
m 19 eh 562 1816 2707 185
m 20 eh 583 1757 2852 199
m 21 eh 615 1624 2265 138
m 22 eh 630 1786 2637 184
m 23 eh 629 1810 2639 227
m 24 eh 624 1909 2773 153
m 25 eh 559 1755 2514 190
m 26 eh 609 1675 2495 207
m 27 eh 634 1874 2563 215
m 28 eh 636 1893 2765 125
m 29 eh 620 1832 2583 177
m 30 eh 565 1805 2608 197
m 31 eh 571 1752 2668 146
m 32 eh 608 1871 2572 166
m 33 eh 567 1718 2557 205
m 34 eh 541 1743 2563 185
m 35 eh 543 1840 2574 244
m 36 eh 579 1866 2799 217
m 37 eh 568 1687 2419 139
m 38 eh 583 1760 2497 158
m 39 eh 641 1814 2642 201
m 40 eh 623 1937 2643 204
m 41 eh 562 1591 2556 188
m 42 eh 622 1799 2726 207
m 44 eh 561 1786 2603 200
m 45 eh 723 2208 3057 200
m 47 eh 534 1608 2509 209
m 48 eh 574 1813 2476 198
m 49 eh 557 1996 2876 172
m 50 eh 565 1952 2619 178
w 01 eh 734 1893 2820 217
w 02 eh 740 2186 3086 432
w 03 eh 707 2110 3028 202
w 04 eh 693 1991 3121 315
w 05 eh 743 1981 2868 260
w 06 eh 712 1881 2777 280
w 07 eh 734 2141 2746 238
w 08 eh 732 2189 3366 199
w 09 eh 710 2138 2818 233
w 10 eh 704 2023 2927 271
w 11 eh 766 1922 2908 317
w 12 eh 673 2389 2989 234
w 13 eh 651 2157 2794 231
w 14 eh 817 2242 3139 241
w 15 eh 684 1992 2951 217
w 16 eh 756 2008 3089 253
w 17 eh 750 1935 2930 188
w 19 eh 706 1986 3228 317
w 20 eh 717 2256 2896 263
w 21 eh 727 1871 2902 281
w 22 eh 584 2175 2930 239
w 23 eh 762 1902 2887 294
w 24 eh 981 2075 3215 231
w 25 eh 794 2046 3082 386
w 26 eh 620 2071 2933 183
w 27 eh 741 1997 2567 236
w 28 eh 693 2012 3003 177
w 29 eh 597 2426 3018 193
w 30 eh 886 2186 2956 221
w 31 eh 588 2130 2870 248
w 32 eh 755 1762 2646 191
w 33 eh 885 2322 3652 194
w 34 eh 804 1998 2775 179
w 35 eh 718 2005 2906 223
w 36 eh 773 2042 3009 368
w 37 eh 694 2160 3144 343
w 38 eh 680 2068 3072 268
w 39 eh 694 2052 2838 259
w 40 eh 726 2123 2959 237
w 41 eh 714 2255 2941 203
w 42 eh 623 1882 3007 250
w 44 eh 718 1952 2817 255
w 45 eh 758 2091 2829 247
w 46 eh 676 2196 3124 284
w 47 eh 770 1866 2653 244
w 48 eh 683 1851 2877 244
w 49 eh 709 2088 2670 221
w 50 eh 817 1984 2973 270
b 01 eh 713 2095 3129 184
b 02 eh 674 2196 3047 195
b 03 eh 735 2315 3286 260
b 04 eh 735 2448 3359 364
b 05 eh 787 2176 3307 207
b 07 eh 867 2054 3227 272
b 08 eh 605 2445 3265 135
b 09 eh 699 2202 3393 193
b 10 eh 646 2435 3262 234
b 11 eh 794 2066 3160 282
b 12 eh 742 2355 3514 363
b 13 eh 640 2244 3086 258
b 14 eh 806 2172 3430 168
b 15 eh 734 2242 3601 312
b 16 eh 616 2356 3200 291
b 17 eh 749 1869 3107 189
b 18 eh 710 1993 3268 195
b 19 eh 632 2431 3091 227
b 21 eh 642 2015 2916 274
b 22 eh 699 2169 3243 212
b 23 eh 1057 2426 3441 238
b 24 eh 744 2227 2966 165
b 25 eh 692 2354 3179 215
b 26 eh 668 2106 3353 331
b 27 eh 699 2194 3317 192
b 28 eh 680 2187 3099 210
b 29 eh 856 2304 2916 212
g 01 eh 653 2241 3167 202
g 02 eh 928 2254 3612 218
g 04 eh 802 2427 3488 277
g 05 eh 809 2265 3309 328
g 06 eh 660 2223 3354 174
g 07 eh 649 2268 2827 284
g 08 eh 741 2418 3665 294
g 09 eh 763 2393 3241 292
g 10 eh 816 2404 3448 278
g 11 eh 793 2228 3560 227
g 12 eh 762 2349 3484 250
g 13 eh 759 2488 3502 250
g 14 eh 621 2275 3146 297
g 15 eh 880 2638 3567 266
g 17 eh 755 2137 3384 204
g 18 eh 533 2480 3378 258
g 19 eh 868 2318 3567 222
g 20 eh 882 2524 3555 228
g 21 eh 733 2421 3250 227
m 01 ei 494 2113 2700 319
m 02 ei 438 2196 2480 261
m 03 ei 438 2026 2476 353
m 04 ei 493 2102 2839 253
m 06 ei 497 2024 2677 241
m 07 ei 555 2174 2900 281
m 08 ei 529 1974 2638 328
m 09 ei 446 1918 2674 318
m 10 ei 439 2067 2708 273
m 11 ei 433 2082 2620 360
m 13 ei 439 2126 2762 243
m 14 ei 495 2166 2668 256
m 16 ei 482 1904 2526 218
m 17 ei 435 2013 2506 259
m 18 ei 445 2268 2798 338
m 19 ei 492 2195 2786 246
m 20 ei 535 2004 2939 237
m 21 ei 382 2035 NaN 196
m 22 ei 499 2068 2676 251
m 23 ei 477 2110 2563 311
m 24 ei 529 2114 2731 274
m 25 ei 494 1962 2608 267
m 26 ei 504 1878 2549 262
m 27 ei 472 2141 2623 252
m 28 ei 490 2187 2722 231
m 29 ei 393 2305 2694 211
m 30 ei 374 2436 2803 338
m 31 ei 444 2121 2547 239
m 32 ei 500 2159 2634 219
m 33 ei 480 2100 2576 311
m 34 ei 469 2035 2660 261
m 35 ei 438 2003 2552 312
m 36 ei 478 2049 2866 269
m 37 ei 497 1903 2455 193
m 38 ei 477 2073 2617 255
m 39 ei 440 2245 3044 286
m 40 ei 502 2025 2642 230
m 41 ei 501 1944 2643 217
m 42 ei 549 1921 2686 319
m 44 ei 497 2083 2628 269
m 45 ei 537 2493 3151 255
m 47 ei 482 1804 2551 282
m 48 ei 501 2042 2617 247
m 49 ei 441 2348 2935 229
m 50 ei 492 2108 2974 256
w 01 ei 539 2476 2868 239
w 02 ei 477 2704 NaN 453
w 03 ei 672 2457 3190 263
w 04 ei 601 2577 3091 437
w 05 ei 487 2600 3130 302
w 06 ei 492 2437 3001 318
w 07 ei 553 2458 2788 330
w 08 ei 496 2665 3173 274
w 09 ei 505 2777 3044 222
w 10 ei 455 2433 3023 347
w 11 ei 574 2316 2854 413
w 12 ei 502 2674 3394 329
w 13 ei 647 2539 NaN 318
w 14 ei 596 2478 2924 230
w 15 ei 500 2482 3060 325
w 16 ei 617 2697 3154 336
w 17 ei 558 2505 2855 261
w 19 ei 572 2428 3120 334
w 20 ei 574 2360 2686 305
w 21 ei 498 2218 2894 346
w 22 ei 511 2574 3085 269
w 23 ei 513 2435 2939 342
w 24 ei 617 2668 3319 349
w 25 ei 610 2598 3323 399
w 26 ei 485 2423 2912 420
w 27 ei 578 2474 3055 284
w 28 ei 507 2573 3121 231
w 29 ei 504 2501 3050 280
w 30 ei 494 2680 3156 313
w 31 ei 487 2408 3094 338
w 32 ei 547 2262 2708 277
w 33 ei 500 2889 3452 296
w 34 ei 433 2773 3297 267
w 35 ei 591 2562 3156 314
w 36 ei 596 2314 3113 402
w 37 ei 500 2622 3305 367
w 38 ei 645 2554 3047 310
w 39 ei 434 2568 3053 344
w 40 ei 543 2399 2775 296
w 41 ei 555 2766 3181 298
w 42 ei 484 2276 3151 343
w 44 ei 442 2464 3067 300
w 45 ei 606 2438 2723 319
w 46 ei 485 2619 NaN 377
w 47 ei 472 2616 NaN 313
w 48 ei 546 2237 2864 309
w 49 ei 439 2801 3084 305
w 50 ei 664 2455 2915 361
b 01 ei 534 2690 3335 222
b 02 ei 556 2482 3428 324
b 03 ei 608 2836 3599 286
b 04 ei 574 2490 3189 323
b 05 ei 611 2761 3269 247
b 07 ei 629 2663 3132 361
b 08 ei 606 2396 3015 285
b 09 ei 555 2377 3123 258
b 10 ei 580 2754 3405 314
b 11 ei 571 2586 3293 309
b 12 ei 554 2620 3604 357
b 13 ei 532 2673 3363 280
b 14 ei 436 2658 3519 260
b 15 ei 558 2643 3216 382
b 16 ei 564 2523 3286 346
b 17 ei 499 2356 2983 245
b 18 ei 621 2476 3195 265
b 19 ei 652 2661 3448 285
b 21 ei 463 2745 3155 465
b 22 ei 558 2559 3311 322
b 23 ei 586 2720 3446 336
b 24 ei 613 2593 3103 199
b 25 ei 441 2585 3014 294
b 26 ei 654 2549 3427 426
b 27 ei 494 2823 3444 293
b 28 ei 510 2438 3126 309
b 29 ei 655 2772 NaN 289
g 01 ei 496 2670 3256 320
g 02 ei 648 2788 3723 286
g 04 ei 561 2663 3550 350
g 05 ei 638 2553 3348 321
g 06 ei 542 2755 3283 261
g 07 ei 544 2444 2605 421
g 08 ei 513 2881 3667 438
g 09 ei 536 2859 3507 364
g 10 ei 740 2651 3049 310
g 11 ei 494 2676 3280 315
g 12 ei 594 2733 3413 293
g 13 ei 550 2780 3468 345
g 14 ei 564 2455 3100 351
g 15 ei 497 2804 3315 386
g 17 ei 575 2502 3445 280
g 18 ei 570 3256 NaN 325
g 19 ei 618 2752 4040 223
g 20 ei 540 2687 3504 294
g 21 ei 558 2533 3224 259
m 01 er 506 1418 1849 324
m 02 er 457 1406 NaN 296
m 03 er 479 1252 1621 368
m 04 er 460 1473 NaN 332
m 06 er 489 1338 1747 217
m 07 er 493 1270 1633 272
m 08 er 501 1334 1611 282
m 09 er 466 1377 1616 342
m 10 er 459 1367 1716 249
m 11 er 438 1387 1716 340
m 13 er 439 1220 1681 268
m 14 er 506 1464 1672 287
m 16 er 439 1387 1746 204
m 17 er 429 1389 1830 256
m 18 er 504 1386 1813 298
m 19 er 505 1330 1929 243
m 20 er 457 1437 1648 356
m 21 er 463 1371 1684 185
m 22 er 491 1455 1896 256
m 23 er 504 1173 1595 274
m 24 er 513 1342 1965 258
m 25 er 474 1505 NaN 260
m 26 er 505 1450 NaN 252
m 27 er 442 1517 1736 231
m 28 er 496 1500 1711 201
m 29 er 453 1432 NaN 206
m 30 er 430 1294 1487 310
m 31 er 435 1289 1562 210
m 32 er 491 1370 1679 202
m 33 er 477 1376 1679 270
m 34 er 447 1400 1791 252
m 35 er 440 1447 1701 271
m 36 er 493 1428 1741 290
m 37 er 478 1440 1665 212
m 38 er 451 1314 1731 206
m 39 er 467 1432 1742 260
m 40 er 505 1447 1823 266
m 41 er 461 1297 1586 214
m 42 er 557 1344 1610 326
m 44 er 491 1300 1744 252
m 45 er 486 1372 1797 255
m 47 er 443 1262 1538 259
m 48 er 489 1493 1836 248
m 49 er 444 1377 1543 238
m 50 er 516 1399 1756 258
w 01 er 470 1437 1672 300
w 02 er 500 1441 1914 418
w 03 er 523 1413 NaN 278
w 04 er 619 1716 2138 350
w 05 er 494 1485 1863 317
w 06 er 527 1636 1974 342
w 07 er 518 1604 1912 320
w 08 er 516 1983 NaN 272
w 09 er 503 1480 1735 261
w 10 er 495 1596 1973 342
w 11 er 567 1496 1803 389
w 12 er 501 1555 1938 348
w 13 er 531 1688 1971 275
w 14 er 506 1604 1915 267
w 15 er 484 1652 1928 355
w 16 er 597 1588 1905 295
w 17 er 491 1506 1727 308
w 19 er 524 1547 2066 319
w 20 er 508 1562 NaN 325
w 21 er 469 1499 NaN 370
w 22 er 505 1568 1845 279
w 23 er 508 1687 1913 345
w 24 er 538 1813 2236 327
w 25 er 617 1565 1930 403
w 26 er 522 1490 2094 340
w 27 er 507 1749 2028 242
w 28 er 514 1831 2192 223
w 29 er 580 1407 1837 311
w 30 er 557 1546 1929 332
w 31 er 555 1491 1998 335
w 32 er 588 1509 NaN 272
w 33 er 549 1749 2209 345
w 34 er 461 1534 1878 240
w 35 er 537 1509 1682 300
w 36 er 492 1635 1871 438
w 37 er 455 1769 2070 371
w 38 er 656 1614 2008 303
w 39 er 509 1365 NaN 340
w 40 er 584 1486 1783 304
w 41 er 491 1655 NaN 262
w 42 er 482 1676 NaN 331
w 44 er 487 1434 1911 319
w 45 er 537 1638 1932 310
w 46 er 500 1637 1928 382
w 47 er 456 1615 1826 327
w 48 er 604 1441 1835 346
w 49 er 513 1569 1869 301
w 50 er 503 1766 1956 356
b 01 er 608 1733 2159 227
b 02 er 560 1687 1990 395
b 03 er 622 1837 2114 280
b 04 er 580 1990 2245 386
b 05 er 573 1562 2227 228
b 07 er 612 1645 2306 375
b 08 er 477 1809 NaN 261
b 09 er 505 1691 2074 262
b 10 er 620 1823 2188 326
b 11 er 586 1681 2069 322
b 12 er 523 1874 2284 366
b 13 er 574 1751 2078 255
b 14 er 619 1498 1696 283
b 15 er 562 1682 1981 371
b 16 er 591 1626 2051 334
b 17 er 556 1741 2245 304
b 18 er 559 1828 2163 304
b 19 er 571 1984 2206 278
b 21 er 495 1555 1948 378
b 22 er 678 1594 2048 336
b 23 er 614 1867 2435 332
b 24 er 568 1512 1783 270
b 25 er 488 1584 1810 277
b 26 er 479 1579 1963 347
b 27 er 615 1742 2009 251
b 28 er 457 1570 1926 263
b 29 er 614 1733 2034 390
g 01 er 556 1687 2002 297
g 02 er 620 1750 2165 258
g 04 er 564 2003 2349 359
g 05 er 601 1791 2612 348
g 06 er 632 1689 2154 299
g 07 er 585 1694 2278 365
g 08 er 540 1571 NaN 346
g 09 er 573 1748 2245 413
g 10 er 631 1722 2140 320
g 11 er 671 1556 2302 296
g 12 er 627 1780 2415 270
